policy,space,evict,budget,k,accuracy,acc_last_third,precision,hit_at_k,hit_at_k_no_dup,exact_dup_rate,n_retrieved_mean,alpha,seed,eta,n_steps
nomemory,orig,fifo,192,8,0.295,0.29,,0.0,0.0,0.0,0.0,0.0,0,0.0,600
semantic,orig,fifo,192,8,0.5266666666666666,0.525,0.43685465768799103,0.9433333333333334,0.9415807560137457,0.03,7.64,0.0,0,0.0,600
rand_proj,rand,fifo,192,8,0.495,0.47,0.4221240179573513,0.9316666666666666,0.929553264604811,0.03,7.64,0.0,0,0.0,600
sem_proj,sem,fifo,192,8,0.49666666666666665,0.475,0.4164421997755331,0.9216666666666666,0.9192439862542955,0.03,7.64,0.0,0,0.0,600
metric,proj,fifo,192,8,0.73,0.835,0.6233024691358025,0.9633333333333334,0.9621993127147767,0.03,7.64,0.0,0,0.0,600
eviction,orig,decision,192,8,0.52,0.495,0.42296576879910214,0.9566666666666667,0.9555555555555556,0.025,7.64,0.0,0,0.0,600
full,proj,decision,192,8,0.7833333333333333,0.875,0.6245650953984287,0.9633333333333334,0.9620034542314335,0.035,7.64,0.0,0,0.0,600
oracle,orig,fifo,192,8,0.9483333333333334,1.0,1.0,0.9183333333333333,0.915807560137457,0.03,3.33,0.0,0,0.0,600
nomemory,orig,fifo,192,8,0.30833333333333335,0.28,,0.0,0.0,0.0,0.0,0.0,1,0.0,600
semantic,orig,fifo,192,8,0.4633333333333333,0.43,0.40814694564694565,0.9483333333333334,0.946551724137931,0.03333333333333333,7.64,0.0,1,0.0,600
rand_proj,rand,fifo,192,8,0.47,0.415,0.40414862914862915,0.9316666666666666,0.9293103448275862,0.03333333333333333,7.64,0.0,1,0.0,600
sem_proj,sem,fifo,192,8,0.4033333333333333,0.37,0.3831048581048581,0.925,0.9224137931034483,0.03333333333333333,7.64,0.0,1,0.0,600
metric,proj,fifo,192,8,0.715,0.755,0.5998556998556999,0.965,0.9637931034482758,0.03333333333333333,7.64,0.0,1,0.0,600
eviction,orig,decision,192,8,0.455,0.4,0.40225468975468975,0.965,0.9637931034482758,0.03333333333333333,7.64,0.0,1,0.0,600
full,proj,decision,192,8,0.7316666666666667,0.83,0.5948051948051948,0.9683333333333334,0.9672977624784854,0.03166666666666667,7.64,0.0,1,0.0,600
oracle,orig,fifo,192,8,0.935,0.98,1.0,0.9083333333333333,0.9051724137931034,0.03333333333333333,3.32,0.0,1,0.0,600
nomemory,orig,fifo,192,8,0.36333333333333334,0.345,,0.0,0.0,0.0,0.0,0.0,2,0.0,600
semantic,orig,fifo,192,8,0.4866666666666667,0.475,0.42874779541446206,0.9466666666666667,0.9450171821305842,0.03,7.64,0.0,2,0.0,600
rand_proj,rand,fifo,192,8,0.4716666666666667,0.5,0.425170354337021,0.9466666666666667,0.9450171821305842,0.03,7.64,0.0,2,0.0,600
sem_proj,sem,fifo,192,8,0.44333333333333336,0.465,0.4034952701619368,0.93,0.9278350515463918,0.03,7.64,0.0,2,0.0,600
metric,proj,fifo,192,8,0.7166666666666667,0.775,0.6025693442360109,0.97,0.9690721649484536,0.03,7.64,0.0,2,0.0,600
eviction,orig,decision,192,8,0.45666666666666667,0.48,0.4016013307679974,0.9633333333333334,0.9625212947189097,0.021666666666666667,7.64,0.0,2,0.0,600
full,proj,decision,192,8,0.7533333333333333,0.805,0.5859447651114318,0.9716666666666667,0.9708404802744426,0.028333333333333332,7.64,0.0,2,0.0,600
oracle,orig,fifo,192,8,0.94,0.98,1.0,0.9083333333333333,0.9054982817869416,0.03,3.243333333333333,0.0,2,0.0,600
nomemory,orig,fifo,192,8,0.33666666666666667,0.325,,0.0,0.0,0.0,0.0,0.0,3,0.0,600
semantic,orig,fifo,192,8,0.47,0.475,0.4470218053551387,0.955,0.953125,0.04,7.64,0.0,3,0.0,600
rand_proj,rand,fifo,192,8,0.4816666666666667,0.49,0.44639049222382554,0.9516666666666667,0.9496527777777778,0.04,7.64,0.0,3,0.0,600
sem_proj,sem,fifo,192,8,0.415,0.44,0.42008577841911177,0.9533333333333334,0.9513888888888888,0.04,7.64,0.0,3,0.0,600
metric,proj,fifo,192,8,0.77,0.83,0.6450436908770242,0.9683333333333334,0.9670138888888888,0.04,7.64,0.0,3,0.0,600
eviction,orig,decision,192,8,0.495,0.49,0.43397466730800066,0.9683333333333334,0.9673539518900344,0.03,7.64,0.0,3,0.0,600
full,proj,decision,192,8,0.7833333333333333,0.865,0.6463063171396505,0.9683333333333334,0.9670138888888888,0.04,7.64,0.0,3,0.0,600
oracle,orig,fifo,192,8,0.9333333333333333,0.98,1.0,0.9083333333333333,0.9045138888888888,0.04,3.335,0.0,3,0.0,600
nomemory,orig,fifo,192,8,0.35333333333333333,0.335,,0.0,0.0,0.0,0.0,0.0,4,0.0,600
semantic,orig,fifo,192,8,0.4816666666666667,0.485,0.42233245149911813,0.935,0.9335604770017035,0.021666666666666667,7.64,0.0,4,0.0,600
rand_proj,rand,fifo,192,8,0.45166666666666666,0.475,0.4082331248997916,0.9283333333333333,0.9267461669505963,0.021666666666666667,7.64,0.0,4,0.0,600
sem_proj,sem,fifo,192,8,0.38166666666666665,0.39,0.38782066698733364,0.9216666666666666,0.919931856899489,0.021666666666666667,7.64,0.0,4,0.0,600
metric,proj,fifo,192,8,0.6833333333333333,0.745,0.5850008016674684,0.9666666666666667,0.9659284497444633,0.021666666666666667,7.64,0.0,4,0.0,600
eviction,orig,decision,192,8,0.5116666666666667,0.57,0.4208593875260542,0.955,0.9540034071550255,0.021666666666666667,7.64,0.0,4,0.0,600
full,proj,decision,192,8,0.7133333333333334,0.78,0.5915243706910374,0.9683333333333334,0.9674657534246576,0.02666666666666667,7.64,0.0,4,0.0,600
oracle,orig,fifo,192,8,0.9433333333333334,0.98,1.0,0.905,0.9028960817717206,0.021666666666666667,3.3866666666666667,0.0,4,0.0,600
nomemory,orig,fifo,192,8,0.3433333333333333,0.295,,0.0,0.0,0.0,0.0,0.5,0,0.0,600
semantic,orig,fifo,192,8,0.5233333333333333,0.59,0.45455547538880875,0.9483333333333334,0.9451327433628318,0.058333333333333334,7.64,0.5,0,0.0,600
rand_proj,rand,fifo,192,8,0.5016666666666667,0.53,0.4356160814494148,0.935,0.9309734513274336,0.058333333333333334,7.64,0.5,0,0.0,600
sem_proj,sem,fifo,192,8,0.4633333333333333,0.505,0.4301447009780343,0.925,0.9203539823008849,0.058333333333333334,7.64,0.5,0,0.0,600
