alpha,policy,accuracy_mean,accuracy_std,last_third_mean,precision_mean
0.0,nomemory,0.33133333333333337,0.02909276351412651,0.315,
0.0,semantic,0.48566666666666664,0.024709422404328996,0.47800000000000004,0.4286207311207312
0.0,rand_proj,0.47400000000000003,0.015968719422671307,0.47000000000000003,0.4212133237133237
0.0,sem_proj,0.42800000000000005,0.04436903324517123,0.42800000000000005,0.4021897546897547
0.0,metric,0.7230000000000001,0.031367003186292576,0.788,0.6111544011544011
0.0,eviction,0.4876666666666667,0.030427509482922433,0.487,0.4163311688311689
0.0,full,0.753,0.031100196498128778,0.8310000000000001,0.6086291486291486
0.0,oracle,0.9400000000000001,0.0061237243569579256,0.984,1.0
0.5,nomemory,0.331,0.016312912404322876,0.32199999999999995,
0.5,semantic,0.5473333333333332,0.018951692976266456,0.583,0.4639365881032548
0.5,rand_proj,0.5373333333333333,0.023351183648324465,0.583,0.4599382716049383
0.5,sem_proj,0.4993333333333333,0.0363738306417616,0.5429999999999999,0.45038439955106624
0.5,metric,0.7123333333333333,0.013773969007596254,0.787,0.6097699214365881
0.5,eviction,0.5196666666666666,0.02641548367487863,0.5429999999999999,0.4323709315375982
0.5,full,0.743,0.015202339001321804,0.834,0.603246352413019
0.5,oracle,0.9433333333333334,0.006236095644623208,0.9890000000000001,1.0
1.0,nomemory,0.33766666666666667,0.013260216187277392,0.34,
1.0,semantic,0.6886666666666666,0.012041594578792322,0.766,0.574486531986532
1.0,rand_proj,0.6849999999999999,0.012360330811826109,0.754,0.5697727272727272
1.0,sem_proj,0.6286666666666666,0.028853076092506987,0.692,0.5698569023569023
1.0,metric,0.6923333333333332,0.02290075204975692,0.762,0.5967929292929293
1.0,eviction,0.7186666666666667,0.029044984267702932,0.808,0.5624915824915825
1.0,full,0.72,0.03190698286512772,0.792,0.5910690235690236
1.0,oracle,0.9406666666666667,0.004346134936801778,0.99,1.0
