policy,budget,per_cell,accuracy,acc_last_third,precision,n_retrieved_mean,alpha,seed,eta,k
nomemory,48,1.0,0.295,0.29,,0.0,0.0,0,0.0,8
semantic,48,1.0,0.4583333333333333,0.41,0.40770001603334943,6.711666666666667,0.0,0,0.0,8
eviction,48,1.0,0.4216666666666667,0.425,0.36299502966169633,6.595,0.0,0,0.0,8
metric,48,1.0,0.4666666666666667,0.415,0.41254008337341674,6.711666666666667,0.0,0,0.0,8
full,48,1.0,0.4666666666666667,0.445,0.37588584255250923,6.595,0.0,0,0.0,8
oracle,48,1.0,0.7316666666666667,0.74,1.0,0.9266666666666666,0.0,0,0.0,8
nomemory,48,1.0,0.30833333333333335,0.28,,0.0,0.0,1,0.0,8
semantic,48,1.0,0.40166666666666667,0.38,0.38938592271925604,6.723333333333334,0.0,1,0.0,8
eviction,48,1.0,0.4083333333333333,0.45,0.36079846079846073,6.885,0.0,1,0.0,8
metric,48,1.0,0.43666666666666665,0.415,0.3961199294532628,6.723333333333334,0.0,1,0.0,8
full,48,1.0,0.43666666666666665,0.395,0.36903559403559405,6.885,0.0,1,0.0,8
oracle,48,1.0,0.7466666666666667,0.76,1.0,0.9716666666666667,0.0,1,0.0,8
nomemory,48,1.0,0.36333333333333334,0.345,,0.0,0.0,2,0.0,8
semantic,48,1.0,0.4266666666666667,0.47,0.4017376142376142,6.7683333333333335,0.0,2,0.0,8
eviction,48,1.0,0.385,0.4,0.3691758858425525,6.9,0.0,2,0.0,8
metric,48,1.0,0.43666666666666665,0.49,0.40678811928811925,6.7683333333333335,0.0,2,0.0,8
full,48,1.0,0.39,0.395,0.3790804874138207,6.9,0.0,2,0.0,8
oracle,48,1.0,0.74,0.76,1.0,0.9333333333333333,0.0,2,0.0,8
nomemory,48,1.0,0.33666666666666667,0.325,,0.0,0.0,3,0.0,8
semantic,48,1.0,0.44166666666666665,0.44,0.4284090909090909,6.678333333333334,0.0,3,0.0,8
eviction,48,1.0,0.44666666666666666,0.465,0.3951018117684785,6.535,0.0,3,0.0,8
metric,48,1.0,0.47833333333333333,0.475,0.44440235690235697,6.678333333333334,0.0,3,0.0,8
full,48,1.0,0.445,0.435,0.4079385121051788,6.535,0.0,3,0.0,8
oracle,48,1.0,0.7466666666666667,0.775,1.0,0.9933333333333333,0.0,3,0.0,8
nomemory,48,1.0,0.35333333333333333,0.335,,0.0,0.0,4,0.0,8
semantic,48,1.0,0.4166666666666667,0.375,0.37926887926887926,6.825,0.0,4,0.0,8
eviction,48,1.0,0.355,0.345,0.3521604938271605,6.465,0.0,4,0.0,8
metric,48,1.0,0.42,0.36,0.3847402597402597,6.825,0.0,4,0.0,8
full,48,1.0,0.44,0.46,0.37665544332211004,6.465,0.0,4,0.0,8
oracle,48,1.0,0.77,0.78,1.0,1.0283333333333333,0.0,4,0.0,8
nomemory,96,2.0,0.295,0.29,,0.0,0.0,0,0.0,8
semantic,96,2.0,0.5083333333333333,0.495,0.43063171396504735,7.636666666666667,0.0,0,0.0,8
eviction,96,2.0,0.48,0.415,0.4008698092031425,7.64,0.0,0,0.0,8
metric,96,2.0,0.5916666666666667,0.62,0.49734046817380156,7.636666666666667,0.0,0,0.0,8
full,96,2.0,0.6066666666666667,0.58,0.4642115600448934,7.64,0.0,0,0.0,8
oracle,96,2.0,0.8766666666666667,0.915,1.0,1.8683333333333334,0.0,0,0.0,8
