budget,policy,accuracy_mean,accuracy_std,precision_mean,n_retrieved_mean
48,nomemory,0.33133333333333337,0.02909276351412651,,0.0
48,semantic,0.429,0.02194057631168535,0.40130030463363797,6.741333333333334
48,eviction,0.4033333333333333,0.03503966006938107,0.3680463363796697,6.676
48,metric,0.44766666666666666,0.0240254494697232,0.4089181497514831,6.741333333333334
48,full,0.43566666666666665,0.028077274321652614,0.3817191758858426,6.676
48,oracle,0.7470000000000001,0.01425949975747164,1.0,0.9706666666666667
96,nomemory,0.33133333333333337,0.02909276351412651,,0.0
96,semantic,0.4646666666666667,0.02711600593335562,0.416341189674523,7.636333333333333
96,eviction,0.44399999999999995,0.028567658481421062,0.39207070707070707,7.608666666666666
96,metric,0.5693333333333334,0.0358546448253996,0.48288159371492706,7.636333333333333
96,full,0.5860000000000001,0.022503086208093572,0.45965127465127464,7.608666666666666
96,oracle,0.877,0.01069787102392082,1.0,1.8493333333333333
192,nomemory,0.33133333333333337,0.02909276351412651,,0.0
192,semantic,0.48566666666666664,0.024709422404328996,0.4286207311207312,7.639999999999999
192,eviction,0.4876666666666667,0.030427509482922433,0.4163311688311689,7.639999999999999
192,metric,0.7230000000000001,0.031367003186292576,0.6111544011544011,7.639999999999999
192,full,0.753,0.031100196498128778,0.6086291486291486,7.639999999999999
192,oracle,0.9400000000000001,0.0061237243569579256,1.0,3.3229999999999995
384,nomemory,0.33133333333333337,0.02909276351412651,,0.0
384,semantic,0.5013333333333333,0.03092104641035147,0.43472342472342473,7.639999999999999
384,eviction,0.505,0.0197905701450632,0.4325348725348725,7.639999999999999
384,metric,0.8253333333333334,0.01749603129601428,0.7468867243867244,7.639999999999999
384,full,0.8236666666666667,0.021647427355487556,0.7473917748917749,7.639999999999999
384,oracle,0.9480000000000001,0.0036132472314464635,1.0,4.939666666666667
