policy,space,acc_vote,acc_head,hit_at_k,gain,alpha,seed,eta,budget,k
nomemory,orig,0.295,0.26166666666666666,0.0,-0.033333333333333326,0.0,0,0.0,192,8
semantic,orig,0.5266666666666666,0.5016666666666667,0.9433333333333334,-0.02499999999999991,0.0,0,0.0,192,8
metric,proj,0.73,0.7066666666666667,0.9633333333333334,-0.023333333333333317,0.0,0,0.0,192,8
oracle,orig,0.9483333333333334,0.9416666666666667,0.9183333333333333,-0.00666666666666671,0.0,0,0.0,192,8
nomemory,orig,0.30833333333333335,0.285,0.0,-0.023333333333333373,0.0,1,0.0,192,8
semantic,orig,0.4633333333333333,0.4483333333333333,0.9483333333333334,-0.015000000000000013,0.0,1,0.0,192,8
metric,proj,0.715,0.715,0.965,0.0,0.0,1,0.0,192,8
oracle,orig,0.935,0.9333333333333333,0.9083333333333333,-0.0016666666666667052,0.0,1,0.0,192,8
nomemory,orig,0.36333333333333334,0.4083333333333333,0.0,0.044999999999999984,0.0,2,0.0,192,8
semantic,orig,0.4866666666666667,0.47833333333333333,0.9466666666666667,-0.00833333333333336,0.0,2,0.0,192,8
metric,proj,0.7166666666666667,0.7116666666666667,0.97,-0.0050000000000000044,0.0,2,0.0,192,8
oracle,orig,0.94,0.9433333333333334,0.9083333333333333,0.0033333333333334103,0.0,2,0.0,192,8
nomemory,orig,0.33666666666666667,0.38666666666666666,0.0,0.04999999999999999,0.0,3,0.0,192,8
semantic,orig,0.47,0.49333333333333335,0.955,0.023333333333333373,0.0,3,0.0,192,8
metric,proj,0.77,0.7566666666666667,0.9683333333333334,-0.013333333333333308,0.0,3,0.0,192,8
oracle,orig,0.9333333333333333,0.9466666666666667,0.9083333333333333,0.013333333333333308,0.0,3,0.0,192,8
nomemory,orig,0.35333333333333333,0.31833333333333336,0.0,-0.034999999999999976,0.0,4,0.0,192,8
semantic,orig,0.4816666666666667,0.475,0.935,-0.00666666666666671,0.0,4,0.0,192,8
metric,proj,0.6833333333333333,0.6666666666666666,0.9666666666666667,-0.01666666666666672,0.0,4,0.0,192,8
oracle,orig,0.9433333333333334,0.9333333333333333,0.905,-0.010000000000000009,0.0,4,0.0,192,8
nomemory,orig,0.33166666666666667,0.28,0.0,-0.05166666666666664,1.0,0,0.0,192,8
semantic,orig,0.6816666666666666,0.695,0.965,0.013333333333333308,1.0,0,0.0,192,8
metric,proj,0.6983333333333334,0.6766666666666666,0.965,-0.021666666666666723,1.0,0,0.0,192,8
oracle,orig,0.9433333333333334,0.94,0.9133333333333333,-0.0033333333333334103,1.0,0,0.0,192,8
nomemory,orig,0.35,0.32666666666666666,0.0,-0.023333333333333317,1.0,1,0.0,192,8
semantic,orig,0.6716666666666666,0.715,0.9633333333333334,0.043333333333333335,1.0,1,0.0,192,8
metric,proj,0.705,0.6733333333333333,0.9666666666666667,-0.03166666666666662,1.0,1,0.0,192,8
oracle,orig,0.9433333333333334,0.9333333333333333,0.9083333333333333,-0.010000000000000009,1.0,1,0.0,192,8
nomemory,orig,0.32,0.44166666666666665,0.0,0.12166666666666665,1.0,2,0.0,192,8
semantic,orig,0.7016666666666667,0.715,0.9666666666666667,0.013333333333333308,1.0,2,0.0,192,8
metric,proj,0.7016666666666667,0.6866666666666666,0.965,-0.015000000000000013,1.0,2,0.0,192,8
oracle,orig,0.9333333333333333,0.9366666666666666,0.9,0.0033333333333332993,1.0,2,0.0,192,8
nomemory,orig,0.335,0.37666666666666665,0.0,0.04166666666666663,1.0,3,0.0,192,8
semantic,orig,0.6966666666666667,0.74,0.9716666666666667,0.043333333333333335,1.0,3,0.0,192,8
metric,proj,0.705,0.6966666666666667,0.9716666666666667,-0.008333333333333304,1.0,3,0.0,192,8
oracle,orig,0.9433333333333334,0.9483333333333334,0.915,0.0050000000000000044,1.0,3,0.0,192,8
nomemory,orig,0.3516666666666667,0.30833333333333335,0.0,-0.043333333333333335,1.0,4,0.0,192,8
semantic,orig,0.6916666666666667,0.72,0.9666666666666667,0.02833333333333332,1.0,4,0.0,192,8
metric,proj,0.6516666666666666,0.6366666666666667,0.965,-0.014999999999999902,1.0,4,0.0,192,8
oracle,orig,0.94,0.9366666666666666,0.9066666666666666,-0.0033333333333332993,1.0,4,0.0,192,8
