policy,accuracy,acc_last_third,precision,alpha,eta,seed,budget,k,purity_pos,purity_neg
nomemory,0.295,0.29,,0.0,0.0,0,192,8,0.456,0.0
semantic,0.5266666666666666,0.525,0.43685465768799103,0.0,0.0,0,192,8,0.456,0.0
metric_clean,0.73,0.835,0.6233024691358025,0.0,0.0,0,192,8,0.456,0.0
metric_noisy,0.73,0.835,0.6233024691358025,0.0,0.0,0,192,8,0.456,0.0
full_noisy,0.7833333333333333,0.875,0.6245650953984287,0.0,0.0,0,192,8,0.456,0.0
oracle,0.9483333333333334,1.0,1.0,0.0,0.0,0,192,8,0.456,0.0
nomemory,0.30833333333333335,0.28,,0.0,0.0,1,192,8,0.456,0.0
semantic,0.4633333333333333,0.43,0.40814694564694565,0.0,0.0,1,192,8,0.456,0.0
metric_clean,0.715,0.755,0.5998556998556999,0.0,0.0,1,192,8,0.456,0.0
metric_noisy,0.715,0.755,0.5998556998556999,0.0,0.0,1,192,8,0.456,0.0
full_noisy,0.7316666666666667,0.83,0.5948051948051948,0.0,0.0,1,192,8,0.456,0.0
oracle,0.935,0.98,1.0,0.0,0.0,1,192,8,0.456,0.0
nomemory,0.36333333333333334,0.345,,0.0,0.0,2,192,8,0.456,0.0
semantic,0.4866666666666667,0.475,0.42874779541446206,0.0,0.0,2,192,8,0.456,0.0
metric_clean,0.7166666666666667,0.775,0.6025693442360109,0.0,0.0,2,192,8,0.456,0.0
metric_noisy,0.7166666666666667,0.775,0.6025693442360109,0.0,0.0,2,192,8,0.456,0.0
full_noisy,0.7533333333333333,0.805,0.5859447651114318,0.0,0.0,2,192,8,0.456,0.0
oracle,0.94,0.98,1.0,0.0,0.0,2,192,8,0.456,0.0
nomemory,0.33666666666666667,0.325,,0.0,0.0,3,192,8,0.456,0.0
semantic,0.47,0.475,0.4470218053551387,0.0,0.0,3,192,8,0.456,0.0
metric_clean,0.77,0.83,0.6450436908770242,0.0,0.0,3,192,8,0.456,0.0
metric_noisy,0.77,0.83,0.6450436908770242,0.0,0.0,3,192,8,0.456,0.0
full_noisy,0.7833333333333333,0.865,0.6463063171396505,0.0,0.0,3,192,8,0.456,0.0
oracle,0.9333333333333333,0.98,1.0,0.0,0.0,3,192,8,0.456,0.0
nomemory,0.35333333333333333,0.335,,0.0,0.0,4,192,8,0.456,0.0
semantic,0.4816666666666667,0.485,0.42233245149911813,0.0,0.0,4,192,8,0.456,0.0
metric_clean,0.6833333333333333,0.745,0.5850008016674684,0.0,0.0,4,192,8,0.456,0.0
metric_noisy,0.6833333333333333,0.745,0.5850008016674684,0.0,0.0,4,192,8,0.456,0.0
full_noisy,0.7133333333333334,0.78,0.5915243706910374,0.0,0.0,4,192,8,0.456,0.0
oracle,0.9433333333333334,0.98,1.0,0.0,0.0,4,192,8,0.456,0.0
nomemory,0.37,0.355,,0.0,0.1,0,192,8,0.32,0.0565
semantic,0.43333333333333335,0.445,0.39540043290043286,0.0,0.1,0,192,8,0.32,0.0565
metric_clean,0.69,0.74,0.5519660894660895,0.0,0.1,0,192,8,0.32,0.0565
metric_noisy,0.6866666666666666,0.755,0.5448112073112072,0.0,0.1,0,192,8,0.32,0.0565
full_noisy,0.6816666666666666,0.755,0.5004088504088504,0.0,0.1,0,192,8,0.32,0.0565
oracle,0.9066666666666666,0.98,0.8873248019500305,0.0,0.1,0,192,8,0.32,0.0565
nomemory,0.31833333333333336,0.29,,0.0,0.1,1,192,8,0.32,0.0565
semantic,0.44166666666666665,0.42,0.38343554593554596,0.0,0.1,1,192,8,0.32,0.0565
metric_clean,0.7133333333333334,0.78,0.5511544011544012,0.0,0.1,1,192,8,0.32,0.0565
metric_noisy,0.6766666666666666,0.745,0.5532587782587783,0.0,0.1,1,192,8,0.32,0.0565
full_noisy,0.6783333333333333,0.715,0.5147486772486772,0.0,0.1,1,192,8,0.32,0.0565
oracle,0.9183333333333333,0.965,0.9101733576642337,0.0,0.1,1,192,8,0.32,0.0565
nomemory,0.32166666666666666,0.31,,0.0,0.1,2,192,8,0.32,0.0565
semantic,0.4816666666666667,0.505,0.4142696809363476,0.0,0.1,2,192,8,0.32,0.0565
metric_clean,0.7033333333333334,0.74,0.5714666506333174,0.0,0.1,2,192,8,0.32,0.0565
metric_noisy,0.6666666666666666,0.72,0.5485289401956069,0.0,0.1,2,192,8,0.32,0.0565
full_noisy,0.6566666666666666,0.69,0.5146484688151355,0.0,0.1,2,192,8,0.32,0.0565
oracle,0.9216666666666666,0.975,0.9156057810578105,0.0,0.1,2,192,8,0.32,0.0565
nomemory,0.32166666666666666,0.33,,0.0,0.1,3,192,8,0.32,0.0565
semantic,0.47333333333333333,0.5,0.41474867724867726,0.0,0.1,3,192,8,0.32,0.0565
metric_clean,0.73,0.79,0.5763648388648388,0.0,0.1,3,192,8,0.32,0.0565
metric_noisy,0.695,0.74,0.5626863876863877,0.0,0.1,3,192,8,0.32,0.0565
full_noisy,0.7,0.695,0.5414321789321789,0.0,0.1,3,192,8,0.32,0.0565
oracle,0.8883333333333333,0.915,0.892942962767362,0.0,0.1,3,192,8,0.32,0.0565
nomemory,0.285,0.28,,0.0,0.1,4,192,8,0.32,0.0565
semantic,0.455,0.555,0.41124539041205704,0.0,0.1,4,192,8,0.32,0.0565
metric_clean,0.6533333333333333,0.73,0.5539221580888248,0.0,0.1,4,192,8,0.32,0.0565
metric_noisy,0.665,0.71,0.5545534712201379,0.0,0.1,4,192,8,0.32,0.0565
full_noisy,0.665,0.71,0.5059423601090268,0.0,0.1,4,192,8,0.32,0.0565
oracle,0.9066666666666666,0.97,0.8843440322722091,0.0,0.1,4,192,8,0.32,0.0565
nomemory,0.3466666666666667,0.335,,0.0,0.2,0,192,8,0.2215,0.0795
semantic,0.41833333333333333,0.39,0.3900573192239859,0.0,0.2,0,192,8,0.2215,0.0795
metric_clean,0.6666666666666666,0.765,0.5209495751162418,0.0,0.2,0,192,8,0.2215,0.0795
metric_noisy,0.555,0.625,0.46539401956068627,0.0,0.2,0,192,8,0.2215,0.0795
full_noisy,0.5383333333333333,0.545,0.42288560205226877,0.0,0.2,0,192,8,0.2215,0.0795
oracle,0.8633333333333333,0.965,0.8103673345476624,0.0,0.2,0,192,8,0.2215,0.0795
nomemory,0.365,0.325,,0.0,0.2,1,192,8,0.2215,0.0795
semantic,0.43666666666666665,0.39,0.376180455347122,0.0,0.2,1,192,8,0.2215,0.0795
metric_clean,0.6766666666666666,0.73,0.5173841590508258,0.0,0.2,1,192,8,0.2215,0.0795
metric_noisy,0.6116666666666667,0.595,0.4782427449094116,0.0,0.2,1,192,8,0.2215,0.0795
full_noisy,0.595,0.575,0.43615520282186954,0.0,0.2,1,192,8,0.2215,0.0795
oracle,0.8516666666666667,0.88,0.7963744588744589,0.0,0.2,1,192,8,0.2215,0.0795
nomemory,0.33666666666666667,0.33,,0.0,0.2,2,192,8,0.2215,0.0795
semantic,0.47833333333333333,0.445,0.4147667147667148,0.0,0.2,2,192,8,0.2215,0.0795
metric_clean,0.6883333333333334,0.74,0.5324013949013949,0.0,0.2,2,192,8,0.2215,0.0795
metric_noisy,0.595,0.62,0.47663540163540163,0.0,0.2,2,192,8,0.2215,0.0795
full_noisy,0.5433333333333333,0.505,0.42886604136604134,0.0,0.2,2,192,8,0.2215,0.0795
oracle,0.8516666666666667,0.88,0.807465955416775,0.0,0.2,2,192,8,0.2215,0.0795
nomemory,0.375,0.39,,0.0,0.2,3,192,8,0.2215,0.0795
semantic,0.4766666666666667,0.46,0.4218133718133718,0.0,0.2,3,192,8,0.2215,0.0795
metric_clean,0.6883333333333334,0.76,0.5573352573352572,0.0,0.2,3,192,8,0.2215,0.0795
metric_noisy,0.6416666666666667,0.695,0.5177729677729677,0.0,0.2,3,192,8,0.2215,0.0795
full_noisy,0.5983333333333334,0.575,0.46137566137566133,0.0,0.2,3,192,8,0.2215,0.0795
oracle,0.85,0.91,0.8060528615115771,0.0,0.2,3,192,8,0.2215,0.0795
nomemory,0.30666666666666664,0.29,,0.0,0.2,4,192,8,0.2215,0.0795
semantic,0.46166666666666667,0.48,0.4072069905403239,0.0,0.2,4,192,8,0.2215,0.0795
metric_clean,0.5983333333333334,0.66,0.5075857784191118,0.0,0.2,4,192,8,0.2215,0.0795
metric_noisy,0.595,0.655,0.4848585056918391,0.0,0.2,4,192,8,0.2215,0.0795
full_noisy,0.5366666666666666,0.55,0.4351952060285394,0.0,0.2,4,192,8,0.2215,0.0795
oracle,0.825,0.915,0.7732445887445887,0.0,0.2,4,192,8,0.2215,0.0795
nomemory,0.35333333333333333,0.345,,0.0,0.3,0,192,8,0.1955,0.0995
semantic,0.38333333333333336,0.41,0.3664902998236332,0.0,0.3,0,192,8,0.1955,0.0995
metric_clean,0.6333333333333333,0.73,0.47907447490780825,0.0,0.3,0,192,8,0.1955,0.0995
metric_noisy,0.42833333333333334,0.445,0.38227312810646147,0.0,0.3,0,192,8,0.1955,0.0995
full_noisy,0.4,0.395,0.3597562930896264,0.0,0.3,0,192,8,0.1955,0.0995
oracle,0.7966666666666666,0.875,0.7094122023809524,0.0,0.3,0,192,8,0.1955,0.0995
nomemory,0.3383333333333333,0.32,,0.0,0.3,1,192,8,0.1955,0.0995
semantic,0.385,0.4,0.3637004970338304,0.0,0.3,1,192,8,0.1955,0.0995
metric_clean,0.63,0.675,0.48785874619207953,0.0,0.3,1,192,8,0.1955,0.0995
metric_noisy,0.465,0.505,0.39526615359948697,0.0,0.3,1,192,8,0.1955,0.0995
full_noisy,0.4216666666666667,0.41,0.36243787077120415,0.0,0.3,1,192,8,0.1955,0.0995
oracle,0.7666666666666667,0.775,0.6920685889034514,0.0,0.3,1,192,8,0.1955,0.0995
nomemory,0.30666666666666664,0.3,,0.0,0.3,2,192,8,0.1955,0.0995
semantic,0.41333333333333333,0.415,0.3783970658970659,0.0,0.3,2,192,8,0.1955,0.0995
metric_clean,0.6,0.68,0.4653078403078402,0.0,0.3,2,192,8,0.1955,0.0995
metric_noisy,0.4533333333333333,0.45,0.3906024531024531,0.0,0.3,2,192,8,0.1955,0.0995
full_noisy,0.38166666666666665,0.355,0.35503848003848004,0.0,0.3,2,192,8,0.1955,0.0995
oracle,0.74,0.775,0.6678854357099331,0.0,0.3,2,192,8,0.1955,0.0995
nomemory,0.31166666666666665,0.285,,0.0,0.3,3,192,8,0.1955,0.0995
semantic,0.45,0.425,0.39798581048581044,0.0,0.3,3,192,8,0.1955,0.0995
metric_clean,0.6516666666666666,0.67,0.49268278018278017,0.0,0.3,3,192,8,0.1955,0.0995
metric_noisy,0.49,0.445,0.4171356421356421,0.0,0.3,3,192,8,0.1955,0.0995
full_noisy,0.46,0.385,0.4026154401154401,0.0,0.3,3,192,8,0.1955,0.0995
oracle,0.7883333333333333,0.815,0.7020467453036261,0.0,0.3,3,192,8,0.1955,0.0995
nomemory,0.335,0.335,,0.0,0.3,4,192,8,0.1955,0.0995
semantic,0.46166666666666667,0.475,0.3944604777938111,0.0,0.3,4,192,8,0.1955,0.0995
metric_clean,0.605,0.665,0.47021805355138685,0.0,0.3,4,192,8,0.1955,0.0995
metric_noisy,0.49,0.53,0.40750761584094913,0.0,0.3,4,192,8,0.1955,0.0995
full_noisy,0.43166666666666664,0.44,0.3742584575917909,0.0,0.3,4,192,8,0.1955,0.0995
oracle,0.8066666666666666,0.865,0.740017813694821,0.0,0.3,4,192,8,0.1955,0.0995
nomemory,0.31833333333333336,0.305,,0.0,0.4,0,192,8,0.158,0.1005
semantic,0.37833333333333335,0.365,0.36535994869328203,0.0,0.4,0,192,8,0.158,0.1005
metric_clean,0.55,0.57,0.44679934263267596,0.0,0.4,0,192,8,0.158,0.1005
metric_noisy,0.395,0.385,0.36641213724547056,0.0,0.4,0,192,8,0.158,0.1005
full_noisy,0.38166666666666665,0.335,0.35757375340708675,0.0,0.4,0,192,8,0.158,0.1005
oracle,0.6683333333333333,0.64,0.6065519638512339,0.0,0.4,0,192,8,0.158,0.1005
nomemory,0.3383333333333333,0.385,,0.0,0.4,1,192,8,0.158,0.1005
semantic,0.3433333333333333,0.395,0.34075076158409495,0.0,0.4,1,192,8,0.158,0.1005
metric_clean,0.55,0.645,0.4310285393618727,0.0,0.4,1,192,8,0.158,0.1005
metric_noisy,0.365,0.395,0.34727433060766394,0.0,0.4,1,192,8,0.158,0.1005
full_noisy,0.3433333333333333,0.35,0.33969857303190637,0.0,0.4,1,192,8,0.158,0.1005
oracle,0.6783333333333333,0.715,0.6092163788592361,0.0,0.4,1,192,8,0.158,0.1005
nomemory,0.345,0.365,,0.0,0.4,2,192,8,0.158,0.1005
semantic,0.37166666666666665,0.44,0.36568462401795737,0.0,0.4,2,192,8,0.158,0.1005
metric_clean,0.5066666666666667,0.595,0.4283950617283951,0.0,0.4,2,192,8,0.158,0.1005
metric_noisy,0.35,0.37,0.3539001122334456,0.0,0.4,2,192,8,0.158,0.1005
full_noisy,0.36,0.385,0.3429573512906846,0.0,0.4,2,192,8,0.158,0.1005
oracle,0.6833333333333333,0.775,0.6039140748550342,0.0,0.4,2,192,8,0.158,0.1005
nomemory,0.3433333333333333,0.395,,0.0,0.4,3,192,8,0.158,0.1005
semantic,0.41833333333333333,0.44,0.37485369568702903,0.0,0.4,3,192,8,0.158,0.1005
metric_clean,0.5366666666666666,0.535,0.4379850088183422,0.0,0.4,3,192,8,0.158,0.1005
metric_noisy,0.41333333333333333,0.4,0.3687510020843354,0.0,0.4,3,192,8,0.158,0.1005
full_noisy,0.415,0.365,0.3660153118486452,0.0,0.4,3,192,8,0.158,0.1005
oracle,0.6433333333333333,0.64,0.5858636363636363,0.0,0.4,3,192,8,0.158,0.1005
nomemory,0.30833333333333335,0.32,,0.0,0.4,4,192,8,0.158,0.1005
semantic,0.3983333333333333,0.415,0.3663379830046497,0.0,0.4,4,192,8,0.158,0.1005
metric_clean,0.47833333333333333,0.48,0.40169151835818506,0.0,0.4,4,192,8,0.158,0.1005
metric_noisy,0.38,0.38,0.35749959916626584,0.0,0.4,4,192,8,0.158,0.1005
full_noisy,0.36333333333333334,0.37,0.34171677088343755,0.0,0.4,4,192,8,0.158,0.1005
oracle,0.6483333333333333,0.685,0.5723542542016806,0.0,0.4,4,192,8,0.158,0.1005
