eta,policy,accuracy_mean,accuracy_std,precision_mean
0.0,nomemory,0.33133333333333337,0.02909276351412651,
0.0,semantic,0.48566666666666664,0.024709422404328996,0.4286207311207312
0.0,metric_clean,0.7230000000000001,0.031367003186292576,0.6111544011544011
0.0,metric_noisy,0.7230000000000001,0.031367003186292576,0.6111544011544011
0.0,full_noisy,0.753,0.031100196498128778,0.6086291486291486
0.0,oracle,0.9400000000000001,0.0061237243569579256,1.0
0.1,nomemory,0.32333333333333336,0.030322342331100413,
0.1,semantic,0.457,0.020459988052565204,0.40381994548661215
0.1,metric_clean,0.6980000000000001,0.028925190866555515,0.5609748276414943
0.1,metric_noisy,0.6779999999999999,0.012877629181387882,0.5527677569344236
0.1,full_noisy,0.6763333333333333,0.0166416478884888,0.5154361071027738
0.1,oracle,0.9083333333333332,0.013070322617798436,0.8980781871423291
0.2,nomemory,0.346,0.0266301833765122,
0.2,semantic,0.4543333333333333,0.026156579796805756,0.4020049703383036
0.2,metric_clean,0.6636666666666666,0.03762756082093723,0.5271312329645663
0.2,metric_noisy,0.5996666666666667,0.031411250638372676,0.48458072791406126
0.2,full_noisy,0.5623333333333334,0.03145985095677065,0.43689554272887604
0.2,oracle,0.8483333333333333,0.01409294543773978,0.7987010398190124
0.3,nomemory,0.329,0.01945793183026171,
0.3,semantic,0.41866666666666663,0.03619775929222383,0.3802068302068302
0.3,metric_clean,0.624,0.021363260258885762,0.479028379028379
0.3,metric_noisy,0.4653333333333333,0.026124700955226267,0.39855699855699855
0.3,full_noisy,0.41900000000000004,0.030013885675355876,0.37082130832130833
0.3,oracle,0.7796666666666667,0.026624967396954462,0.7022861571985568
0.4,nomemory,0.33066666666666666,0.01639783183499843,
0.4,semantic,0.382,0.028294090470548,0.36259740259740264
0.4,metric_clean,0.5243333333333333,0.031216092715848416,0.4291798941798942
0.4,metric_noisy,0.38066666666666665,0.024793592362185486,0.3587674362674363
0.4,full_noisy,0.37266666666666665,0.02729977614885839,0.3495923520923521
0.4,oracle,0.6643333333333333,0.017818529681205474,0.5955800616261643
