alpha,seed,policy,budget,k,eta,n_steps,accuracy,acc_last_third,acc_no_dup,acc_dup_only,precision,hit_at_k,hit_at_k_no_dup,exact_dup_rate,n_retrieved_mean,memory_occupancy_max
0.0,0,nomemory,192,8,0.0,600,0.295,0.29,0.295,,,0.0,0.0,0.0,0.0,0
0.0,0,recency,192,8,0.0,600,0.4666666666666667,0.435,0.4639865996649916,1.0,0.40844556677890015,0.92,0.9195979899497487,0.005,7.64,192
0.0,0,random,192,8,0.0,600,0.47833333333333333,0.45,0.4748322147651007,1.0,0.4105499438832772,0.9183333333333333,0.9177852348993288,0.006666666666666667,7.64,192
0.0,0,semantic,192,8,0.0,600,0.5266666666666666,0.525,0.5223367697594502,0.6666666666666666,0.43685465768799103,0.9433333333333334,0.9415807560137457,0.03,7.64,192
0.0,0,kmeans,192,8,0.0,600,0.505,0.47,0.5,0.6666666666666666,0.4254910213243547,0.92,0.9175257731958762,0.03,7.64,192
0.0,0,oracle,192,8,0.0,600,0.9483333333333334,1.0,0.9467353951890034,1.0,1.0,0.9183333333333333,0.915807560137457,0.03,3.33,192
0.0,1,nomemory,192,8,0.0,600,0.30833333333333335,0.28,0.30833333333333335,,,0.0,0.0,0.0,0.0,0
0.0,1,recency,192,8,0.0,600,0.395,0.385,0.3926174496644295,0.75,0.37805435305435303,0.9316666666666666,0.9312080536912751,0.006666666666666667,7.64,192
0.0,1,random,192,8,0.0,600,0.4266666666666667,0.405,0.42327150084317033,0.7142857142857143,0.38647186147186147,0.9266666666666666,0.9258010118043845,0.011666666666666667,7.64,192
0.0,1,semantic,192,8,0.0,600,0.4633333333333333,0.43,0.4517241379310345,0.8,0.40814694564694565,0.9483333333333334,0.946551724137931,0.03333333333333333,7.64,192
0.0,1,kmeans,192,8,0.0,600,0.44,0.36,0.43448275862068964,0.6,0.3885762385762386,0.9383333333333334,0.9362068965517242,0.03333333333333333,7.64,192
0.0,1,oracle,192,8,0.0,600,0.935,0.98,0.9327586206896552,1.0,1.0,0.9083333333333333,0.9051724137931034,0.03333333333333333,3.32,192
0.0,2,nomemory,192,8,0.0,600,0.36333333333333334,0.345,0.36333333333333334,,,0.0,0.0,0.0,0.0,0
0.0,2,recency,192,8,0.0,600,0.43166666666666664,0.44,0.4312080536912752,0.5,0.3952881994548661,0.9216666666666666,0.9211409395973155,0.006666666666666667,7.64,192
0.0,2,random,192,8,0.0,600,0.415,0.46,0.4175084175084175,0.16666666666666666,0.39171075837742503,0.935,0.9343434343434344,0.01,7.64,192
0.0,2,semantic,192,8,0.0,600,0.4866666666666667,0.475,0.4793814432989691,0.7222222222222222,0.42874779541446206,0.9466666666666667,0.9450171821305842,0.03,7.64,192
0.0,2,kmeans,192,8,0.0,600,0.4716666666666667,0.48,0.46735395189003437,0.6111111111111112,0.4232764149430816,0.9316666666666666,0.929553264604811,0.03,7.64,192
