alpha,policy,accuracy_mean,accuracy_std,last_third_mean,no_dup_mean,no_dup_std,dup_only_mean,precision_mean,hit_at_k_mean,exact_dup_mean,n_retrieved_mean
0.0,nomemory,0.33133333333333337,0.02909276351412651,0.315,0.33133333333333337,0.02909276351412651,,,0.0,0.0,0.0
0.0,recency,0.43866666666666665,0.031367003186292576,0.437,0.4363784010140794,0.030830332699678546,0.75,0.39941197691197694,0.9276666666666668,0.007666666666666667,7.639999999999999
0.0,random,0.4336666666666667,0.03344564412761565,0.43,0.43265734166452646,0.032236066841784275,0.5761904761904761,0.401053391053391,0.9289999999999999,0.007666666666666667,7.639999999999999
0.0,semantic,0.48566666666666664,0.024709422404328996,0.47800000000000004,0.4787971442467266,0.026762573071047124,0.7012393162393162,0.4286207311207312,0.9456666666666667,0.031,7.639999999999999
0.0,kmeans,0.45566666666666666,0.03416869912653982,0.43499999999999994,0.45136866710687695,0.033980818030822105,0.5986324786324786,0.41271164021164025,0.9349999999999999,0.031,7.639999999999999
0.0,oracle,0.9400000000000001,0.0061237243569579256,0.984,0.9380544531793419,0.006630196116531443,1.0,1.0,0.9096666666666667,0.031,3.3229999999999995
0.5,nomemory,0.331,0.016312912404322876,0.32199999999999995,0.331,0.016312912404322876,,,0.0,0.0,0.0
0.5,recency,0.43633333333333335,0.02569587083127907,0.43600000000000005,0.43339748321159954,0.024612704883254517,0.6193939393939394,0.40413019079685747,0.9286666666666668,0.01633333333333333,7.639999999999999
0.5,random,0.4296666666666667,0.02442107468742703,0.43900000000000006,0.4273588835360055,0.026619816292451495,0.5717171717171717,0.3980695847362514,0.9253333333333333,0.01566666666666667,7.639999999999999
0.5,semantic,0.5473333333333332,0.018951692976266456,0.583,0.5313113609062811,0.016053286850011176,0.7889097744360902,0.4639365881032548,0.9446666666666668,0.062,7.639999999999999
0.5,kmeans,0.5123333333333333,0.02012461179749808,0.568,0.4954209388539216,0.015717915748919422,0.7653383458646617,0.4553086419753086,0.9383333333333332,0.062,7.639999999999999
0.5,oracle,0.9433333333333334,0.006236095644623208,0.9890000000000001,0.9395731786872782,0.006802847628759001,1.0,1.0,0.9099999999999999,0.062,3.3659999999999997
1.0,nomemory,0.33766666666666667,0.013260216187277392,0.34,0.33766666666666667,0.013260216187277392,,,0.0,0.0,0.0
1.0,recency,0.417,0.0389515368403125,0.41600000000000004,0.41023748681844124,0.040096118262020156,0.5363929431421692,0.3923316498316498,0.9346666666666668,0.05566666666666666,7.639999999999999
1.0,random,0.41500000000000004,0.02898754521821015,0.42000000000000004,0.40622167191265524,0.027171175979488833,0.5528047673852419,0.3881228956228956,0.9333333333333333,0.05633333333333333,7.639999999999999
1.0,semantic,0.6886666666666666,0.012041594578792322,0.766,0.6574397364219113,0.017249110663435725,0.8128754810443135,0.574486531986532,0.9666666666666666,0.198,7.639999999999999
1.0,kmeans,0.6416666666666667,0.010069204977995464,0.722,0.6107579206962239,0.014529856937655551,0.7674616263605657,0.5857659932659932,0.9630000000000001,0.198,7.639999999999999
1.0,oracle,0.9406666666666667,0.004346134936801778,0.99,0.9260495578493654,0.005582399172507091,1.0,1.0,0.9086666666666666,0.19733333333333333,3.3333333333333335
